HTR: NOTI01181/NOTI01181000019.xml#r3l2         | buker
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l1   | 2 Maart, N

HTR: NOTI01181/NOTI01181000028.xml#r2l1         | 2 Maart, No: 40
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l2   | 4

HTR: NOTI01181/NOTI01181000028.xml#r2l2         | Compareerde &
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l3   | Compareerde etc.

HTR: NOTI01181/NOTI01181000028.xml#r2l5         | woonende binnen dese stad.
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l6   | woonende binnen dese stad

HTR: NOTI01181/NOTI01181000028.xml#r2l15        | waar te neemen, ten dien, voor alle Rech¬
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l17  | waar te neemen, ten dien voor alle Rech¬

HTR: NOTI01181/NOTI01181000028.xml#r2l27        | tegenwoordig zijnde zoude kunnen doen
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l29  | tegenwoordig zijnde zoude kunnen doen.

HTR: NOTI01181/NOTI01181000028.xml#r2l34        | Gepasseert in Amsteldam in praesentie
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l35  | Gepasseert in Amsteldam in præsentie

HTR: NOTI01181/NOTI01181000028.xml#r2l37        | Wm Decker Junior  Yohanna Schenckels
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l39  | Wm

HTR: NOTI01181/NOTI01181000028.xml#r2l37        | Wm Decker Junior  Yohanna Schenckels
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l40  | Decker Junior Yohanna Schenckels

HTR: NOTI01181/NOTI01181000028.xml#r2l38        | weduwe albrt Kruijkeboom
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l41  | weduwe Albrt Kruijkeboom

HTR: NOTI01181/NOTI01181000028.xml#r2l39        | Abm Bractearius. H: V Heel
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l43  | Abm Bractearius

HTR: NOTI01181/NOTI01181000028.xml#r2l39        | Abm Bractearius. H: V Heel
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l44  | H

HTR: NOTI01181/NOTI01181000028.xml#r2l39        | Abm Bractearius. H: V Heel
GT : 12788_NOTI01181/NOTI01181000028.xml#r2l47  | V Heel

HTR: NOTI01181/NOTI01181000028.xml#r1l3         | Compareerden voor mij Harmanus
GT : 12788_NOTI01181/NOTI01181000028.xml#r1l3   | Compareerde voor mij Harmanus

HTR: NOTI01181/NOTI01181000029.xml#r1l1         | de Huijbert
GT : 12788_NOTI01181/NOTI01181000029.xml#r1l1   | Derluijbert

HTR: NOTI01181/NOTI01181000029.xml#r1l2         | No. 1
GT : 12788_NOTI01181/NOTI01181000029.xml#r1l2   | No 5

HTR: NOTI01181/NOTI01181000029.xml#r1l1         | de Huijbert
GT : 12788_NOTI01181/NOTI01181000029.xml#r1l10  | ###

HTR: NOTI01181/NOTI01181000030.xml#r3l6         | Abraham Pelser Koetsier oud
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l5   | Abraham Pelser Koetsier, oud

HTR: NOTI01181/NOTI01181000030.xml#r3l10        | nende in de tweede lelijdwarsstraat insgelijks
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l9   | nende in de tweede leliedwarsstraat insgelijks

HTR: NOTI01181/NOTI01181000030.xml#r3l11        | binnen dese stad.
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l10  | binnen dese stad

HTR: NOTI01181/NOTI01181000030.xml#r3l13        | waarheijd onder preesentatie van Eede
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l12  | waarheijd onder presentatie van Eede

HTR: NOTI01181/NOTI01181000030.xml#r3l17        | de binnen dese stad getuijgt en verklaart.
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l16  | de binnen dese stad getuijgt en verklaart

HTR: NOTI01181/NOTI01181000030.xml#r3l21        | gekent der Requiranten br
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l20  | gekent der Requiranten broeder

HTR: NOTI01181/NOTI01181000030.xml#r3l22        | Vlieger die in het jaar 1739 voor Botteliers
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l21  | Vlieger die in het jaar 1739 voor Botteliers¬

HTR: NOTI01181/NOTI01181000030.xml#r3l25        | de Oost Jndische Compagnie ter Kamere al
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l24  | de Oost Jndische Compagnie ter Kamere al¬

HTR: NOTI01181/NOTI01181000030.xml#r3l28        | gens (soo zij deposanten zijn geinformeert
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l27  | gens (soo zij deposanten zijn geinformeert)

HTR: NOTI01181/NOTI01181000030.xml#r3l29        | ng ongehuwt ^ overleeden
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l28  | nog ongehuwd ^ overleeden

HTR: NOTI01181/NOTI01181000030.xml#r3l32        | deselve van hier na OostIndien vertrok
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l31  | deselve van hier na Oost Indien vertrok

HTR: NOTI01181/NOTI01181000030.xml#r3l34        | ke beijde bereijds te vooren waaren overlee¬
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l33  | „ke beijde bereijds te vooren waaren overlee¬

HTR: NOTI01181/NOTI01181000030.xml#r3l34        | ke beijde bereijds te vooren waaren overlee¬
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l34  | zijn

HTR: NOTI01181/NOTI01181000030.xml#r3l35        | den, en dat de Requiranten waaren de eeni¬
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l35  | „den, en dat de Requiranten waaren de eeni¬

HTR: NOTI01181/NOTI01181000030.xml#r3l41        | gelijk ook niet eenige broeders of susters
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l41  | gelijk ook niet eenige broeder of susters

HTR: NOTI01181/NOTI01181000030.xml#r3l44        | in leven hadden op desselvs overlije
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l44  | in leven hadden op desselvs overlijden

HTR: NOTI01181/NOTI01181000030.xml#r3l45        | melingen, 't zij van heele of halve bedde heeft
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l45  | „melingen, 't zij van heele of halve bedde heeft

HTR: NOTI01181/NOTI01181000030.xml#r3l49        | hij is een Neev van de voornoemde overlee¬
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l49  | hij is een Neev van de voorgenoemde overlee¬

HTR: NOTI01181/NOTI01181000030.xml#r3l50        | dene Jan de Vlieger en mitsdien insgelijks
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l50  | „dene Jan de Vlieger en mitsdien insgelijks

HTR: NOTI01181/NOTI01181000030.xml#r3l51        | van de Requiranten, en dat hij tweede getuij¬
GT : 12788_NOTI01181/NOTI01181000030.xml#r3l51  | van de Requiranten, en dat hij tweede getuij

HTR: NOTI01181/NOTI01181000030.xml#r1l1         | Op den derden Maart
GT : 12788_NOTI01181/NOTI01181000030.xml#r1l1   | Op heden derden Maart

HTR: NOTI01181/NOTI01181000030.xml#r1l3         | vijf e veertig
GT : 12788_NOTI01181/NOTI01181000030.xml#r1l3   | vijf en veertig

HTR: NOTI01181/NOTI01181000030.xml#r1l6         | teldam bij den Hove van Holland
GT : 12788_NOTI01181/NOTI01181000030.xml#r1l6   | „steldam bij den Hove van Holland

HTR: NOTI01181/NOTI01181000031.xml#r1l1         | deselve Jan de Vlieger in een slaapstede heeft
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l1   | deselve Jan de Vlieger in een Slaapstede heeft

HTR: NOTI01181/NOTI01181000031.xml#r1l2         | gelegen, weshalven zij deposanten deselve
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l2   | gelegen, weshalven Zij deposanten deselve

HTR: NOTI01181/NOTI01181000031.xml#r1l5         | met de Requiranten als nog seer wel Kenne
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l5   | met de Requiranten als nog Seer wel Kenne

HTR: NOTI01181/NOTI01181000031.xml#r1l6         | nat, haar omgaan bereijd zijnde derha¬
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l6   | haar omgaan bereijd zijnde derha¬

HTR: NOTI01181/NOTI01181000031.xml#r1l6         | nat, haar omgaan bereijd zijnde derha¬
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l7   | en met

HTR: NOTI01181/NOTI01181000031.xml#r1l8         | d
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l8   | bereijd

HTR: NOTI01181/NOTI01181000031.xml#r1l12        | Gepasseert in Amsteldam in praesent
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l12  | Gepasseert in Amsteldam in præsent

HTR: NOTI01181/NOTI01181000031.xml#r1l13        | van Jan van Vollenhoven Anthonig
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l13  | van

HTR: NOTI01181/NOTI01181000031.xml#r1l13        | van Jan van Vollenhoven Anthonig
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l14  | Jan van Vollenhoven Anthonis

HTR: NOTI01181/NOTI01181000031.xml#r1l15        | abrampelser
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l16  | abram pelser

HTR: NOTI01181/NOTI01181000031.xml#r1l17        | Jan van Vollenhoven Anthoniesz
GT : 12788_NOTI01181/NOTI01181000031.xml#r1l18  | Jan van Vollenhoven Anthonies

HTR: NOTI01181/NOTI01181000032.xml#r1l1         | de Huijbert
GT : 12788_NOTI01181/NOTI01181000032.xml#r1l1   | de Huijbert.

HTR: NOTI01181/NOTI01181000032.xml#r1l2         | No 6
GT : 12788_NOTI01181/NOTI01181000032.xml#r1l2   | No. 6

HTR: NOTI01181/NOTI01181000032.xml#r1l5         | Martin van Beversdoip
GT : 12788_NOTI01181/NOTI01181000032.xml#r1l5   | Martin van Beversdorp

HTR: NOTI01181/NOTI01181000032.xml#r1l6         | en Jan Timmerman
GT : 12788_NOTI01181/NOTI01181000032.xml#r1l6   | en  Jan Timmerman

HTR: NOTI01181/NOTI01181000032.xml#r1l7         | ten, behoeven
GT : 12788_NOTI01181/NOTI01181000032.xml#r1l7   | ten behoeven

HTR: NOTI01181/NOTI01181000032.xml#r1l8         | Van
GT : 12788_NOTI01181/NOTI01181000032.xml#r1l8   | van

HTR: NOTI01181/NOTI01181000033.xml#r3l1         | Compareerden &
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l1   | Compareerden etc.

HTR: NOTI01181/NOTI01181000033.xml#r3l8         | voor de oprechte waarheijt onder praesen¬
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l8   | voor de oprechte waarheijt onder presen¬

HTR: NOTI01181/NOTI01181000033.xml#r3l12        | Compagnie schip Arnesteijn genaamt
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l12  | Companie schip Arnesteijn genaamt

HTR: NOTI01181/NOTI01181000033.xml#r3l13        | dienst van d' Edele Heeren Bewindheb¬
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l13  | in dienst van d' Edele Heeren Bewindheb¬

HTR: NOTI01181/NOTI01181000033.xml#r3l15        | ter Kamere van Delft uijt Oostsndien
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l15  | ter Kamere van Delft uijt Oost Indien

HTR: NOTI01181/NOTI01181000033.xml#r3l22        | ^in deMaan
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l20  | in de Maand April

HTR: NOTI01181/NOTI01181000033.xml#r3l23        | hen getuijgens schip ^ op de Reede van
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l21  | hun getuijgens schip ^ op de Reede van

HTR: NOTI01181/NOTI01181000033.xml#r3l24        | Cabo de Bone Esperance lag hebben
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l22  | Cabo de Bones Esperance lag hebben

HTR: NOTI01181/NOTI01181000033.xml#r3l30        | verstrekt in silvere ducatons gerekent
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l28  | verstrekt in silver ducatons gerekent

HTR: NOTI01181/NOTI01181000033.xml#r3l36        | Matthijs Christiaans ten behoeven van
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l34  | Matthijs Christiaans ten behoeve van

HTR: NOTI01181/NOTI01181000033.xml#r3l44        | Matthijs Christiaans verstrekt en geleent
GT : 12788_NOTI01181/NOTI01181000033.xml#r3l42  | Matthijs Christiaans verstrekt op geleent

HTR: NOTI01181/NOTI01181000034.xml#r1l1         | zonder dat onder deselve somma van
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l1   | Zonder dat onder deselve Somma van

HTR: NOTI01181/NOTI01181000034.xml#r1l3         | Interessen zijn begreepen.
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l3   | Interessen Zijn begreepen.

HTR: NOTI01181/NOTI01181000034.xml#r1l4         | Geevende zij getuijgen voor redenen va
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l4   | Geevende Zij getuijgen voor redenen va

HTR: NOTI01181/NOTI01181000034.xml#r1l5         | wetenschap dat zij hun bovengeme
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l5   | wetenschap dat Zij hun bovengeme¬

HTR: NOTI01181/NOTI01181000034.xml#r1l7         | geeven van het geld zijn tegenwoordig ge¬
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l7   | geeven van het geld Zijn tegenwoordig g

HTR: NOTI01181/NOTI01181000034.xml#r1l9         | voortsals in den Text
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l8   | ^ en voort sulx in den Text

HTR: NOTI01181/NOTI01181000034.xml#r1l10        | weest ^ bereid zijnde derhalven hun ge¬
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l9   | weest ^ , bereid Zijnde derhalven hun ge¬

HTR: NOTI01181/NOTI01181000034.xml#r1l11        | deposeerde nader met Eede te bevestig¬
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l10  | deposeerde nader met Eede te bevestig

HTR: NOTI01181/NOTI01181000034.xml#r1l12        | Gepasseert in Amsteldam in presentie va
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l11  | Gepasseert in Amsteldam in presentie v

HTR: NOTI01181/NOTI01181000034.xml#r1l13        | Gerrit Wijthof en Jan van Vollenhove Anth
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l12  | Gerrit Wijthof en Jan van Vollenhove Anth.

HTR: NOTI01181/NOTI01181000034.xml#r1l15        | Mrten Vr Bes Loop
GT : 12788_NOTI01181/NOTI01181000034.xml#r1l14  | Martin  Vn Befers dorp

HTR: NOTI01181/NOTI01181000035.xml#r1l1         | de Huijbert
GT : 12788_NOTI01181/NOTI01181000035.xml#r1l1   | deHuijbert

HTR: NOTI01181/NOTI01181000035.xml#r1l2         | No.
GT : 12788_NOTI01181/NOTI01181000035.xml#r1l2   | No. 7

HTR: NOTI01181/NOTI01181000036.xml#r3l1         | Compareerden #c
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l1   | Compareerden ###

HTR: NOTI01181/NOTI01181000036.xml#r3l4         | woonende binnen dese stad
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l4   | woonende binnen dese Stad.

HTR: NOTI01181/NOTI01181000036.xml#r3l5         | En Verklaarden zij Comparanten te
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l5   | En Verklaarden Zij Comparanten te

HTR: NOTI01181/NOTI01181000036.xml#r3l7         | voor lange aan hen comparanten zijn vol¬
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l7   | voor lange aan hen Comparanten Zijn Vol¬

HTR: NOTI01181/NOTI01181000036.xml#r3l9         | der comparanten ter somma van drie
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l9   | der Comparanten ter Somma van drie

HTR: NOTI01181/NOTI01181000036.xml#r3l14        | Aken en getuijgen binnen dese stad ge¬
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l14  | Aken en getuijgen binnen dese Stad ge¬

HTR: NOTI01181/NOTI01181000036.xml#r3l16        | hen beijden zijnde geweest de voornoemde
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l16  | hen beijden Zijnde geweest de voornoemde

HTR: NOTI01181/NOTI01181000036.xml#r3l17        | Hendrik Leermans, welke het zelve
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l17  | Hendrik Leermans, welke het Zelve

HTR: NOTI01181/NOTI01181000036.xml#r3l20        | de Comparanten en een ieder van hen be¬
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l20  | de comparanten en een ieder van hen be¬

HTR: NOTI01181/NOTI01181000036.xml#r3l28        | op den 8 Januari des Jaars 1744.
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l28  | op den 8 Januarij des Jaars 1744.

HTR: NOTI01181/NOTI01181000036.xml#r3l32        | voor de voldoening des bovengemelde
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l32  | voor de voldoening der bovengemelde

HTR: NOTI01181/NOTI01181000036.xml#r3l34        | der deswegens ten lasten van den voorn.
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l34  | der deswegene ten lasten van den voorne

HTR: NOTI01181/NOTI01181000036.xml#r3l38        | te actien en preetensien open te houden
GT : 12788_NOTI01181/NOTI01181000036.xml#r3l38  | te actien en preetensien open te houden,

HTR: NOTI01181/NOTI01181000036.xml#r1l1         | O den vierden &vijfden
GT : 12788_NOTI01181/NOTI01181000036.xml#r1l1   | Op den vierden & vijfden

HTR: NOTI01181/NOTI01181000036.xml#r1l2         | Maart des Jaars seventien
GT : 12788_NOTI01181/NOTI01181000036.xml#r1l2   | Maart des Jaars Seventien

HTR: NOTI01181/NOTI01181000037.xml#r1l1         | den bovengemelde boedel en Ervgenaa¬
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l1   | den boeven gemelde boedel en Ervgenaa¬

HTR: NOTI01181/NOTI01181000037.xml#r1l2         | men van voornoemde Hendrik Leer¬
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l2   | men van voornoemde Hendrik Leerh¬

HTR: NOTI01181/NOTI01181000037.xml#r1l3         | mans ^ en eenige anden of na de
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l3   | ^n###y

HTR: NOTI01181/NOTI01181000037.xml#r1l3         | mans ^ en eenige anden of na de
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l4   | man ^ ene eenige anden of na den

HTR: NOTI01181/NOTI01181000037.xml#r1l6         | te zullen aan ##reeken of moeielyk vollen
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l7   | te zullen aan ###neeken of moeielyk vollen

HTR: NOTI01181/NOTI01181000037.xml#r1l7         | verbindende daar van haar Comparan¬
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l8   | verbinden de daar van haden zij comparan¬

HTR: NOTI01181/NOTI01181000037.xml#r1l8         | ten en een ieder van hen daar voor hunne
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l9   | ten en een ider van hen daar voor hunne

HTR: NOTI01181/NOTI01181000037.xml#r1l9         | persoonen en goederen als na Rectiten.
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l10  | persoonen en goederen als na Rectiten

HTR: NOTI01181/NOTI01181000037.xml#r1l10        | Gepasseert in Amsteldam in presentie
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l11  | Gepasseert in Amsterdam in presentie

HTR: NOTI01181/NOTI01181000037.xml#r1l11        | van Jan van vollenhoven anthonioz
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l12  | van Jan van vollenhoven anthoniez

HTR: NOTI01181/NOTI01181000037.xml#r1l12        | a Graham Bralteai
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l13  | a Graham Braetearius

HTR: NOTI01181/NOTI01181000037.xml#r1l14        | Loon Coemans
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l15  | Corn Coemans:

HTR: NOTI01181/NOTI01181000037.xml#r1l19        | Abm: Bractearius
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l19  | dbm: Braetearius

HTR: NOTI01181/NOTI01181000037.xml#r1l20        | H:V: Heel
GT : 12788_NOTI01181/NOTI01181000037.xml#r1l20  | H: V: Heel

HTR: NOTI01181/NOTI01181000038.xml#r2l2         | OP den Tiende Maart des jaars
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l2   | Op den Tiende Maart des jaars

HTR: NOTI01181/NOTI01181000038.xml#r2l3         | seventien hondert vijf en veertig
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l3   | Seventien hondert vijf en veertig,

HTR: NOTI01181/NOTI01181000038.xml#r2l4         | compareerden voor mij Hermanus van
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l4   | Compareerden voor mij Hermanus van

HTR: NOTI01181/NOTI01181000038.xml#r2l5         | Heel Notaris te Amsteldam bij den Hove
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l5   | Heel Notaris te Amsteldan bij den Hove

HTR: NOTI01181/NOTI01181000038.xml#r2l8         | Pieter Uijttenbaan wonende in de Tichel
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l8   | Pieter Uijttenbaan wonende in de Tichel¬

HTR: NOTI01181/NOTI01181000038.xml#r2l11        | liersgragt aan de zuijdzijde bij de twee¬
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l11  | liersgragt aan de Zuijdzijde bij de twee¬

HTR: NOTI01181/NOTI01181000038.xml#r2l12        | de brug
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l12  | de brug.

HTR: NOTI01181/NOTI01181000038.xml#r2l13        | en Swaantje Bastiaens Hout
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l13  | en Swaantje Bastiaense Hout¬

HTR: NOTI01181/NOTI01181000038.xml#r2l15        | wonende in de boomstraat bij de Noordermarkt
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l15  | wonende in de boomstraat bij de Noordermarkt.

HTR: NOTI01181/NOTI01181000038.xml#r2l16        | zijnde alle van competente ouderdom wa
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l16  | zijnde alle van competente ouderdom ###

HTR: NOTI01181/NOTI01181000038.xml#r2l17        | werd
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l17  | ###

HTR: NOTI01181/NOTI01181000038.xml#r2l25        | En wel zij Eerste getuijge, dat zij eers¬
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l24  | En wel zij Eerste getuijge, dat Zij eers¬

HTR: NOTI01181/NOTI01181000038.xml#r2l26        | te getuijge als schoonmaakster en werkster
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l25  | te getuijge als Schoonmaakster en werkster

HTR: NOTI01181/NOTI01181000038.xml#r2l27        | sedert twee Jaaren heeft gewerkt en alsoo
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l26  | Sedert twee Jaaren heeft gewerkt en alsoo

HTR: NOTI01181/NOTI01181000038.xml#r2l30        | des Requirantes zoon Hendrik Stuijvenberg
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l29  | des Requirantes Zoon Hendrik Stuijvenberg

HTR: NOTI01181/NOTI01181000038.xml#r2l31        | oud zijnde, soo als zij getuijge te meermaa¬
GT : 12788_NOTI01181/NOTI01181000038.xml#r2l30  | oud Zijnde, Soo als Zij getuijge te meermaa¬

HTR: NOTI01181/NOTI01181000038.xml#r2l34        | de gedient vervolgens bij de Requirante
